1.2024.289,869735790
1.2024.296,869874215
1.2024.297,870057207
1.2024.303,870086256
1.2024.304,870191964
1.2024.310,870215971
1.2024.317,870513194
1.2024.318,870540184
1.2024.324,870598064
1.2024.325,870678639
1.2024.332,870734233
1.2024.338,870932469
1.2024.339,871047119
1.2024.345,871076069
1.2024.346,871163663
1.2024.347,871244884
1.2024.348,871272831
1.2025.007,871595991
1.2025.014,871728106
1.2025.021,871929948
1.2025.028,872095880
1.2025.029,872181671
1.2025.030,872193675
1.2025.031,872213966
1.2025.035,872250481
1.2025.036,872391320
1.2025.042,872429645
1.2025.043,872611560
1.2025.049,872641290
1.2025.056,872801200
1.2025.057,872973262
1.2025.063,872982892
1.2025.070,873166030
1.2025.077,873348662
1.2025.084,873532972
1.2025.091,873713665
1.2025.098,873887566
1.2025.105,874065073
1.2025.112,874226650
1.2025.119,874409877
1.2025.126,874571389
1.2025.133,874760014
