14.10.1,864461183
14.10.1,869728444
14.10.1,869791756
14.10.2,869791756
14.10.2,869889450
14.10.3,869791756
14.10.3,870119710
14.11.0,869791756
14.11.0,870224651
14.11.1,869791756
14.11.1,870351533
14.11.2,869791756
14.11.2,870529057
14.11.3,869791756
14.11.3,870682841
14.12.0,869791756
14.12.0,870876975
14.12.1,869791756
14.12.1,871030178
14.12.2,869791756
14.12.2,871200249
14.12.3,869791756
14.12.3,871326267
15.1.0,869791756
15.1.0,871580537
15.1.2,869791756
15.1.2,871740771
15.4.1,869791756
15.4.2,869791756
15.4.2,874149155
15.4.3,869791756
15.5.0,869791756
15.5.0,874420149
15.5.1,869791756
15.5.1,874735125
